Peak,Elev-M,Prom-M,Country,State/Prov,County,Range,Url,PeakBagger PID,Latitude,Longitude,note,osmId,safeToCreate
Col Pizzon,1482,208,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161937,161937,,,unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Col Pizzoc; 0 Col Pizon; 0 Col Pianon),,false
Col Vida,1475,150,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=164479,164479,,,"unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Col Vaita; 0 Col Vidà; 0 Col Vidal, ...)",,false
Monte Gardellon,1449,152,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=160977,160977,,,unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Bardellone; 0 Monte Fardello),,false
Cima Ekar,1363,276,Italy,Veneto,Vicenza,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46619,46619,,,matched via exact name,1375636781,false
Monte Bertiaga,1356,179,Italy,Veneto,Vicenza,Dolomites,https://www.peakbagger.com/peak.aspx?pid=196024,196024,,,matched via exact name,5969135913,false
Colon del Forzelon,1328,168,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161926,161926,,,matched via strong-name fallback,3271021544,false
Cima Campaniletto,1325,263,Italy,Veneto/Lombardy,Vicenza,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195814,195814,,,unresolved: no confident spatial match and no strong-name match,,false
Monte Vedana,1324,232,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161951,161951,,,"unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Verena; 0 Monte Vederna; 0 Monte Verna, ...)",,false
Monte Cimone,1294,194,Italy,Veneto,Belluno,Carnic Alps,https://www.peakbagger.com/peak.aspx?pid=195811,195811,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Monte Cimone),,false
Monte Coi Alti,1274,196,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161923,161923,,,unresolved: no confident spatial match and no strong-name match,,false
Monte Sperone,1262,186,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161818,161818,,,matched via exact name,2614765884,false
Cima di Lan,1261,236,Italy,Veneto/Lombardy,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195820,195820,,,matched via exact name,3377940700,false
Monte Pastello,1128,253,Italy,Veneto,Verona,Dolomites,https://www.peakbagger.com/peak.aspx?pid=178453,178453,,,matched via exact name,1705036752,false
Monte Civillina,960,289,Italy,Veneto,Vicenza,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46638,46638,,,matched via exact name,1486106925,false
Rocca Cisa,786,161,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161966,161966,,,matched via exact name,5128616051,false
Monte Telva,561,256,Italy,Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161825,161825,,,matched via exact name,7118196171,false
Collalto,496,289,Italy,Veneto,Treviso,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46656,46656,,,matched via exact name,598305374,false
Monte Comun,492,152,Italy,Veneto,Treviso,Carnic Alps,https://www.peakbagger.com/peak.aspx?pid=164532,164532,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Monte Comun),,false
Monte Moscal,427,202,Italy,Veneto,Verona,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=178509,178509,,,matched via exact name,1093641673,false
Monte Ventolone,405,179,Italy,Veneto,Padua,Dolomites,https://www.peakbagger.com/peak.aspx?pid=130299,130299,,,matched via exact name,540353977,false
Monte Rusta,397,154,Italy,Veneto,Padua,Dolomites,https://www.peakbagger.com/peak.aspx?pid=130298,130298,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Monte Rusta),,false
