Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Jilletts Tier,1057,55G,4 97 755,53 40 350,-42.08893,146.97285,1
"Jim Brown, Mount",838,55G,4 35 120,52 38 240,-43.00574,146.20394,1
Jubilee Range,1013,55G,4 63 140,52 52 260,-42.88137,146.54864,3
"Jukes, Mount",1168,55G,3 82 950,53 30 040,-42.17303,145.58282,3
Julia Peak,918,55G,3 83 430,53 61 360,-41.8911,145.59486,1
"Karamu, Mount",441,55G,4 23 520,51 79 470,-43.5338,146.05346,1
"Kate, Mount",1156,55G,4 13 280,53 92 290,-41.6164,145.95911,1
"Kerford, Mount",503,55G,6 15 380,55 23 120,-40.43456,148.36033,2
King Davids Peak,1499,55G,4 40 885,53 70 370,-41.81634,146.28825,2
"King William I, Mount",1324,55G,4 28 930,53 24 960,-42.2243,146.13882,2
"King William II, Mount",1361,55G,4 29 300,53 16 120,-42.30394,146.14223,3
"King William III, Mount",1172,55G,4 31 720,53 09 510,-42.36368,146.1708,3
"King, Mount",652,55G,4 27 870,52 10 090,-43.25855,146.11133,1
Koruna Peak,932,55G,4 16 190,52 54 250,-42.85974,145.9741,2
"La Perouse, Mount",1158,55G,4 79 200,51 83 170,-43.50411,146.7427,4
Lanes Peak,1174,55G,4 60 580,52 84 200,-42.59362,146.51952,1
Last Hill,1128,55G,4 02 360,53 44 960,-42.04134,145.82027,1
Layatinna Hill,1222,55G,4 45 620,53 54 140,-41.96285,146.34376,1
"Lee, Mount",736,55G,3 85 260,52 87 030,-42.56061,145.60222,1
"Legge, Mount",723,55G,4 27 790,52 12 690,-43.23513,146.11068,2
Legges Tor,1572,55G,5 54 960,54 01 840,-41.5332,147.65883,1
"Leillateah, Mount",780,55G,4 83 940,51 81 490,-43.51935,146.80128,2
"Leventhorpe, Mount",501,55G,5 93 530,55 63 590,-40.07277,148.09687,1
"Lewis, Mount",798,55G,3 93 730,52 69 890,-42.71614,145.70217,2
Liffey Bluff,1219,55G,4 77 780,53 80 130,-41.73033,146.73282,1
"Lion, The",988,55G,4 23 490,52 44 600,-42.9474,146.06213,2
Little Cinder Hill,680,55G,4 23 450,52 34 370,-43.0395,146.06023,1
Little Horn,1355,55G,4 13 565,53 85 715,-41.67564,145.96158,1
Little Hugel,1274,55G,4 25 950,53 40 055,-42.08809,146.10463,1
"Littlechild, Mount",850,55G,5 81 640,54 38 320,-41.20237,147.97371,1
"Livingstone, Mount",781,55G,3 56 040,53 84 470,-41.67852,145.27043,2
"Lloyd Jones, Mount",982,55G,4 32 360,52 40 940,-42.98119,146.1704,2
"Lloyd, Mount",932,55G,4 96 760,52 56 400,-42.84497,146.96035,1
Loddon Bluff,1220,55G,4 25 480,53 19 300,-42.27495,146.09629,3
Loongana Range,895,55G,4 12 320,54 17 790,-41.38664,145.95131,1
"Lord, Mount",1198,55G,4 61 010,52 82 560,-42.60841,146.52465,2
Lorkins Lookout,1034,55G,4 77 450,52 67 300,-42.74649,146.72447,1
"Lorymer, Mount",560,55G,4 20 120,54 35 750,-41.2257,146.04694,1
"Lot, Mount",1156,55G,4 55 050,52 44 560,-42.95027,146.44897,3
Lots Wife,1089,55G,4 56 000,52 44 840,-42.94781,146.46063,3
"Louisa, Mount",931,55G,4 51 810,51 88 490,-43.45495,146.40436,4
Loyetea Peak,705,55G,4 12 730,54 25 490,-41.31734,145.95732,1
"Lyell, Mount",917,55G,3 85 310,53 43 730,-42.05012,145.61408,1
"Lyne, Mount",942,55G,4 02 770,53 12 550,-42.33323,145.8198,3
"Mabel, Mount",700,55G,3 28 610,54 12 300,-41.42257,144.94901,1
MacGregor Peak,591,55G,5 77 230,52 41 200,-42.97794,147.94717,1
"Maconachie, Mount",958,55G,4 25 670,52 32 880,-43.05314,146.08728,3
Macs Mountain,1413,55G,4 15 745,53 56 825,-41.93605,145.98367,3
"Madge, Mount",780,55G,3 94 650,53 28 380,-42.18964,145.72414,1
"Manfred, Mount",1382,55G,4 18 980,53 48 890,-42.00784,146.02159,3
"Mangana, Mount",571,55G,5 23 190,51 97 820,-43.37213,147.28624,1
Marble Bluff,830,55G,3 90 330,53 48 100,-42.01148,145.67554,2
"Maria, Mount",711,55G,5 90 710,52 80 610,-42.62161,148.10612,2
"Marian, Mount",1132,55G,5 08 530,52 52 560,-42.87951,147.10445,1
Markham Heights,1542,55G,5 54 320,54 04 080,-41.51307,147.65096,1
Marriotts Lookout,1100,55G,4 73 660,52 65 290,-42.76447,146.67807,1
"Mary, Mount",1012,55G,3 99 860,53 27 820,-42.19537,145.78713,2
"Massif, Mount",1514,55G,4 22 375,53 60 255,-41.90584,146.06408,4
"Maud, Mount",770,55G,3 96 970,53 25 740,-42.21372,145.75177,1
"Maurice, Mount",1121,55G,5 49 145,54 27 200,-41.30516,147.58707,1
"Mawson, Mount",1318,55G,4 66 420,52 73 050,-42.6943,146.59004,1
"Mayson, Mount",415,55G,6 05 890,53 31 910,-42.15778,148.28175,1
"McCall, Mount",764,55G,3 94 990,53 08 220,-42.3712,145.7246,1
"McCutcheon, Mount",707,55G,3 90 640,53 08 270,-42.37015,145.67179,1
"Melaleuca, Mount",598,55G,4 26 710,51 85 940,-43.47587,146.09381,1
Mensa Moor,1365,55G,5 53 570,53 96 300,-41.5832,147.64266,1
"Meredith, Mount",792,55G,3 53 770,53 96 670,-41.56827,145.24615,2
Mersey Crag,1420,55G,4 44 600,53 75 330,-41.77194,146.33344,1
Mesa,1012,55G,4 82 280,52 00 307,-43.34988,146.78135,1
Millers Bluff,1211,55G,5 14 320,53 57 380,-41.93542,147.17274,2
Milligans Peak,1300,55G,4 28 460,53 24 770,-42.22597,146.1331,1
"Minotaur, The",1350,55G,4 21 180,53 53 290,-41.96844,146.04874,1
Molly Yorks Nightcap,1110,55G,5 15 830,53 53 660,-41.96889,147.19105,1
"Montagu, Mount",1063,55G,5 14 050,52 47 980,-42.92067,147.17215,2
Moonlight Ridge,1036,55G,4 80 540,51 87 020,-43.46948,146.75941,1
"Morriston, Mount",804,55G,5 60 200,53 41 980,-42.07194,147.72772,1
Mother Cummings Head,1260,55G,4 61 905,53 85 630,-41.68019,146.5423,1
Mountains of Jupiter,1320,55G,4 32 110,53 56 420,-41.94127,146.181,2
"Mueller, Mount",1245,55G,4 55 540,52 63 980,-42.77543,146.45651,2
"Munro, Mount",711,55G,5 94 850,55 30 500,-40.37068,148.11723,1
"Murchison, Mount",1275,55G,3 85 200,53 70 500,-41.80906,145.61796,3
Murphys Bluff,881,55G,4 24 620,52 43 470,-42.95768,146.07582,2
"Needles, The",1032,55G,4 54 960,52 68 665,-42.7332,146.44979,1
"Needles, The",1108,55G,4 55 390,52 13 750,-43.22772,146.45066,2
"Nereus, Mount",1184,55G,4 11 780,53 58 460,-41.92089,145.93609,4
Nevada Peak,1390,55G,4 70 590,52 48 020,-42.91987,146.63965,2
New Harbour Range,556,55G,4 34 780,51 83 650,-43.49723,146.1933,2
"Nicholas, Mount",859,55G,5 91 290,54 00 415,-41.54272,148.09449,1
"Norfolk, Mount",762,55G,3 29 760,54 09 860,-41.44478,144.96207,2
"Norold, Mount",978,55G,4 39 920,52 10 410,-43.25672,146.25981,3
North Star,996,55G,4 36 970,52 90 900,-42.53171,146.23251,2
"Oakleigh, Mount",1286,55G,4 20 005,53 72 030,-41.79956,146.0371,3
"Oana, Mount",1180,55G,4 40 050,53 54 870,-41.95587,146.27662,1
Observation Peak,952,55G,4 25 050,53 02 920,-42.42241,146.08895,1
Old Mans Head,995,55G,5 18 185,53 27 575,-42.20377,147.22028,1
Olegas Bluff,659,55G,4 13 690,52 76 810,-42.65633,145.94694,2
"Olympus (North), Mount",1472,55G,4 24 980,53 45 655,-42.03757,146.09362,3
"Orion, Mount",1151,55G,4 40 390,52 23 300,-43.1407,146.26699,3
"Orthys, Mount",1279,55G,4 28 560,53 43 235,-42.0597,146.13658,1
"Ossa, Mount",1614,55G,4 19 750,53 64 125,-41.87072,146.03296,4
"Owen, Mount",1146,55G,3 84 560,53 38 400,-42.098,145.60396,1
Paddys Nut,1382,55G,4 17 780,53 65 715,-41.8562,146.00945,1
Parangana Sugarloaf,799,55G,4 36 390,53 88 330,-41.65424,146.23605,1
Parson and Clerk Mountain,1210,55G,5 03 990,53 59 200,-41.91914,147.04812,1
Parsons Hood,913,55G,3 61 560,53 83 860,-41.685,145.33658,2
"Parthenon, The",1260,55G,4 21 430,53 54 975,-41.95329,146.05199,1
"Patrick, Mount",1040,55G,5 06 530,52 50 570,-42.89745,147.07998,1
Pavement Bluff,1330,55G,5 62 365,53 94 750,-41.59652,147.74833,1
"Pearse, Mount",1001,55G,3 84 310,54 04 720,-41.50079,145.61387,1
"Pegasus (South), Mount",1053,55G,4 41 010,52 21 830,-43.15398,146.27446,2
"Pegasus, Mount",1063,55G,4 41 230,52 22 440,-43.14851,146.27723,3
"Pelion East, Mount",1461,55G,4 22 610,53 65 655,-41.85723,146.06762,2
"Pelion West, Mount",1560,55G,4 15 110,53 68 400,-41.83174,145.97767,5
Perrins Bluff,1420,55G,4 14 380,53 63 440,-41.87633,145.96816,3
Philps Peak,1282,55G,4 06 330,53 17 880,-42.28567,145.86387,4
"Phoenix, The",1091,55G,4 48 570,52 19 190,-43.17831,146.36719,2
"Picton, Mount",1327,55G,4 68 065,52 21 640,-43.15732,146.6072,3
"Piguenit, Mount",757,55G,4 59 220,52 13 840,-43.22713,146.49783,1
"Pillinger, Mount",1280,55G,4 27 490,53 70 360,-41.81532,146.12699,2
Pindars Peak,1230,55G,4 74 660,51 82 040,-43.51414,146.68648,5
Pine Knob,1066,55G,4 05 360,53 20 770,-42.25953,145.85258,1
Piners Peak,696,55G,4 13 280,52 31 060,-43.06821,145.93489,1
"Pitt, Mount",1295,55G,4 27 460,53 24 740,-42.22615,146.12098,1
Platform Peak,979,55G,5 04 720,52 73 825,-42.68804,147.05762,1
"Pleiades, The",1080,55G,4 29 190,52 81 160,-42.61875,146.13658,2
