Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Flame Peak,1089,55G,4 28 820,52 93 590,-42.50678,146.13362,2
Flat Bluff,1060,55G,4 01 180,53 31 300,-42.1642,145.8037,1
Flat Iron Hill,988,55G,5 04 830,53 28 550,-42.19519,147.0585,1
Florentine Peak,1376,55G,4 62 050,52 73 940,-42.68608,146.53676,2
Folded Range,966,55G,4 30 810,52 35 730,-43.02796,146.15075,2
Fordon Bluff,490,55G,5 36 850,53 88 480,-41.65458,147.44257,1
"Forestier, Mount",316,55G,5 69 750,52 48 770,-42.9105,147.8545,1
"Fortescue, Mount",490,55G,5 78 670,52 19 690,-43.17146,147.96787,2
Forty Lakes Peak,1351,55G,4 52 870,53 79 940,-41.73095,146.4333,1
Fossey Mountains,971,55G,4 34 690,54 06 390,-41.49145,146.2176,1
"Foster, Mount",1012,55G,5 73 770,53 79 470,-41.73316,147.88705,1
Four Peaks 1,1062,55G,4 55 389,52 10 560,-43.25645,146.45039,1
Four Peaks 2,1024,55G,4 55 310,52 10 340,-43.25842,146.4494,1
Four Peaks 3,1069,55G,4 55 500,52 10 220,-43.25951,146.45173,2
Four Peaks 4,1055,55G,4 55 600,52 10 170,-43.25997,146.45296,1
Frances Bluff,1288,55G,4 53 530,52 44 165,-42.95374,146.4303,1
Frankland Peak,1083,55G,4 30 470,52 40 260,-42.98714,146.14714,4
"Frankland, Mount",447,55G,3 26 700,54 27 240,-41.28767,144.93043,1
Franklin Hills,687,55G,4 15 030,53 23 460,-42.23642,145.9702,1
"Franklin, Mount",1102,55G,5 19 270,53 41 720,-42.07635,147.23296,1
"Frederick, Mount",921,55G,4 71 960,52 33 380,-43.05176,146.6557,2
Freezing Hill,1116,55G,4 64 730,52 80 220,-42.62966,146.56986,2
Frenchmans Cap,1446,55G,4 03 540,53 19 610,-42.26975,145.83033,7
"Freycinet, Mount",620,55G,6 07 610,53 25 340,-42.2167,148.30378,2
Frog Hill,1067,55G,5 02 400,53 44 350,-42.0529,147.029,1
"Fulton, Mount",482,55G,4 35 060,51 96 950,-43.37751,146.19835,1
Fury Gorge Prospect,1280,55G,4 08 640,53 83 610,-41.69405,145.9021,1
"Gables, The",1058,55G,4 55 850,52 11 380,-43.24909,146.45614,2
"Gaffney, Mount",519,55G,4 01 470,52 30 700,-43.07001,145.7898,1
Gap Peak,390,55G,3 45 730,53 63 830,-41.8624,145.14127,1
"Gatepost, The",1290,55G,4 25 720,53 57 170,-41.93394,146.10402,1
Geeves Bluff,1152,55G,4 56 550,52 07 970,-43.27984,146.46449,3
"Geikie, Mount",1193,55G,3 82 350,53 52 530,-41.97044,145.58008,2
"Gell, Mount",1447,55G,4 19 460,53 32 770,-42.15306,146.02517,4
"Geryon (North), Mount",1516,55G,4 21 625,53 57 795,-41.92792,146.05471,5
"Geryon (South Spur), Mount",1430,55G,4 21 650,53 57 450,-41.93103,146.05497,2
